,CBScode,Gemeentenaam
174,GM1705,Lingewaard
175,GM0553,Lisse
176,GM0262,Lochem
177,GM0809,Loon op Zand
178,GM0331,Lopik
179,GM0024,Loppersum
180,GM0168,Losser
181,GM0263,Maasdriel
182,GM1641,Maasgouw
183,GM0556,Maassluis
184,GM0935,Maastricht
185,GM0420,Medemblik
186,GM0938,Meerssen
187,GM1948,Meierijstad
188,GM0119,Meppel
189,GM0687,Middelburg (Z.)
190,GM1842,Midden-Delfland
191,GM1731,Midden-Drenthe
192,GM1952,Midden-Groningen
193,GM0815,Mill en Sint Hubert
194,GM1709,Moerdijk
195,GM1978,Molenlanden
196,GM1955,Montferland
197,GM0335,Montfoort
